code,name,url,market_cap,last_price,pe,result_date,sales_yoy,sales_qoq,np_yoy,np_qoq,ebitda_yoy,ebitda_qoq,opm_latest,cf_profit,pead_score,pead_category,sudden_shift,growth_gate,calculation_date,ltp,pct_change
540175,Regency Fincorp,https://www.screener.in/company/540175/,412.0,46.4,23.8,Jun 2026,107.47,56.31,122.47,99.15,150.94,119.67,,,97.5,HIGH,True,True,2026-07-20T14:32:28+00:00,46.36,1.2
506161,Ishwarshakti Hol,https://www.screener.in/company/506161/,0.72,5.01,,Jun 2026,375.0,80.95,30.77,122.37,90.0,157.58,,,91.4,HIGH,True,True,2026-07-20T14:32:28+00:00,5.01,4.81
501110,Sunrise Indl.,https://www.screener.in/company/501110/,0.37,7.5,0.2,Jun 2026,20.18,63.1,89.74,362.5,44.62,161.11,,,88.9,HIGH,True,False,2026-07-20T14:32:28+00:00,7.5,4.9
GFSTEELS,Grand Foundry,https://www.screener.in/company/GFSTEELS/,49.0,14.3,20.1,Jun 2026,,86.67,1506.67,137.08,4540.0,105.56,,,87.5,HIGH,True,False,2026-07-20T14:32:28+00:00,14.3,
AURUM,Aurum Proptech,https://www.screener.in/company/AURUM/,1691.0,235.0,1799.4,Jun 2026,71.25,-9.68,552.0,175.61,157.02,3.17,,,86.7,HIGH,True,True,2026-07-20T14:32:28+00:00,235.0,
512527,Super Sales Ind.,https://www.screener.in/company/512527/,322.0,1049.0,29.1,Jun 2026,13.36,8.74,411.36,747.48,102.88,149.26,,,85.8,HIGH,True,False,2026-07-20T14:32:28+00:00,1049.15,12.98
DPABHUSHAN,D.P. Abhushan,https://www.screener.in/company/DPABHUSHAN/,3279.0,1434.0,13.7,Jun 2026,57.78,-36.18,76.92,27.27,70.9,34.88,,,84.6,HIGH,True,True,2026-07-20T14:32:28+00:00,1434.0,
TINNARUBR,Tinna Rubber,https://www.screener.in/company/TINNARUBR/,2151.0,1190.0,34.9,Jun 2026,20.0,-0.64,76.07,24.85,62.98,19.79,,,80.4,HIGH,True,False,2026-07-20T14:32:28+00:00,1190.0,
RAJOOENG,Rajoo Engineers,https://www.screener.in/company/RAJOOENG/,915.0,51.1,18.9,Jun 2026,44.54,54.91,16.0,637.29,16.67,580.25,,,80.3,HIGH,True,False,2026-07-20T14:32:28+00:00,51.1,
TFCILTD,Tour. Fin. Corp.,https://www.screener.in/company/TFCILTD/,3830.0,82.7,24.9,Jun 2026,27.16,9.61,100.0,91.25,22.18,8.13,,,79.5,HIGH,True,True,2026-07-20T14:32:28+00:00,82.7,
